company
name|description
TNTWORLDWIDE|Black Empowerment Apparel, Hand Wrapped Lenseless Fashion Frames
TricoMax Inc.|Tricomax Hair Management System - Clinically proven to promote hair growth, reduce inflammation and improve scalp health.
Tropic Isle Living|No extended description available for this exhibitor
Unique BEAUTY PRODUCTS|BARBER AND BEAUTY SUPPLIES
Universal Beauty|Jamaican Mango Lime, Salon Pro, Smooth Moisture, and VIA
Wavers At Heart|Wavers At Heart is a black-owned small business with a vision to represent the individuals dedication and unique ways of showcasing love for their hair. We promote expression of self through custom fashionable and comfortable hair accessories. We also work with professionals in the beauty industry, bringing their personal logos/designs to life on various necessities (smocks, capes, aprons, etc.)
Wellbel|Wellbel supplements for hair, skin and nails
Wig Medical|Learn how to collect guaranteed insurance payments by providing medical grade wigs to clients. Wig Medical's only learning platform walks you through each step to set you up for success in the medical wig industry. Hair loss affects over 80 million Americans yearly. The need for more Certified Cranial Prosthesis Specialists continues to grow.
Wrap-A-Loc Products Inc.|Wrap-A-Loc is a hair styling tool and a technique that creates curls, spirals, and waves on natural and loc'd hair. This amazing tool can be worn undetectable in the hair as a style, and when removed, curls blossom. Wrap-A-Loc is a patented product that allows you to create multiple styling options. This dual-use is what sets it apart from other styling tools. You can wear them while going about your daily activities without worrying about looking unprofessional or not put together.
XUCHANG SV INDUSTRIAL CO.,LTD|XUCHANG SV INDUSTRIAL CO.,LTD is a professional hair manufature that located in xuchang,henan.with many year's development,we have a good quality control system.Our products include virgin remy hair,remy hair,silky straight,brazilian body wave,brazilian deep wave,water wave,kinky wave,loose wave, bebe curl and other curly items.We have our own quality control departments that alwalys check the quality of the hair and supply customer high quality hair in competitive price.
Yannii LLC|Chicago's Premier Hair, Makeup, & Fashion Specialist: Beauty x Wigs x Runway
YELLE; Inc|YELLE IS A PLANT BASED ENVIORNMENTALLY SAFE BEAUTY PRODCUTS THAT ENRCIHES AND NOURICHES ALL SKIN TYPES. YELLE Beauty is the New Standard in Beauty for Melanin Rich Skin. A female owned company made up of 98% women, YELLE Beauty prides itself on being a practical beauty brand for the modern woman who needs hardworking products with multitasking benefits. We work with smart, innovative women to curate the heartbeat and distinct beauty needs of todays multi-faceted woman of color. Licensed beauty professionals, beauty centric research & development led by beauty/business executive thought leaders.
Your Best Step, Inc.|Non profit organization for aging out fostered young adults.
